hypocentral_distance,hypocentre_depth,magnitude,vs30,azimuthal_gap,num_samples
531.2950988,50,6.2,154,130,10
145.3529581,50,6.2,768,130,10
216.4779703,50,6.2,775,130,10
93.79337668,50,6.2,372,130,10
167.6008432,50,6.2,326,130,10
39.17999252,50,6.2,663,130,10
246.6035965,50,6.2,559,130,10
18.50415514,50,6.2,587,130,10
79.22393066,50,6.2,380,130,10
452.6679493,50,6.2,892,130,10
231.821387,50,6.2,372,130,10
176.2056095,50,6.2,366,130,10
100.0200161,50,6.2,593,130,10
347.4748515,50,6.2,224,130,10
470.0609349,50,6.2,521,130,10
188.4676017,50,6.2,245,130,10
91.02510701,50,6.2,624,130,10
200.4297885,50,6.2,704,130,10
280.2213299,50,6.2,240,130,10
113.7563969,50,6.2,553,130,10
168.1028111,50,6.2,314,130,10
122.6511063,50,6.2,429,130,10
264.3736421,50,6.2,311,130,10
207.3707554,50,6.2,1126,130,10
27.80661423,50,6.2,525,130,10
186.9615521,50,6.2,596,130,10
280.3531664,50,6.2,133,130,10
245.2582457,50,6.2,449,130,10
367.9389046,50,6.2,608,130,10
189.4169835,50,6.2,505,130,10
57.87560838,50,6.2,385,130,10
257.6010528,50,6.2,577,130,10
179.9707678,50,6.2,430,130,10
263.0223014,50,6.2,248,130,10
121.5136456,50,6.2,521,130,10
169.2748993,50,6.2,428,130,10
192.6706953,50,6.2,424,130,10
92.97224207,50,6.2,375,130,10
211.0350616,50,6.2,508,130,10
260.7634459,50,6.2,518,130,10
149.4826847,50,6.2,336,130,10
164.1963141,50,6.2,421,130,10
174.4106451,50,6.2,468,130,10
281.0715199,50,6.2,358,130,10
163.1092068,50,6.2,506,130,10
59.25719403,50,6.2,627,130,10
372.6273586,50,6.2,371,130,10
229.4930882,50,6.2,360,130,10
224.8796534,50,6.2,240,130,10
154.4779312,50,6.2,680,130,10
106.2788939,50,6.2,686,130,10
201.9458269,50,6.2,808,130,10
86.78987398,50,6.2,276,130,10
194.3386668,50,6.2,232,130,10
233.3559555,50,6.2,493,130,10
80.88654459,50,6.2,426,130,10
231.5715886,50,6.2,217,130,10
183.8772587,50,6.2,343,130,10
88.29072098,50,6.2,379,130,10
156.351726,50,6.2,788,130,10
95.50836639,50,6.2,508,130,10
204.1640469,50,6.2,242,130,10
254.3141792,50,6.2,361,130,10
101.0100363,50,6.2,681,130,10
154.7520347,50,6.2,623,130,10
215.6947396,50,6.2,450,130,10
48.87989524,50,6.2,310,130,10
154.756998,50,6.2,849,130,10
154.2784296,50,6.2,372,130,10
405.2652896,50,6.2,620,130,10
140.7140195,50,6.2,369,130,10
429.125595,50,6.2,338,130,10
190.1377781,50,6.2,216,130,10
229.7258352,50,6.2,274,130,10
106.1825929,50,6.2,323,130,10
158.9625715,50,6.2,685,130,10
177.0795219,50,6.2,327,130,10
140.8472019,50,6.2,419,130,10
293.9740508,50,6.2,366,130,10
398.1133052,50,6.2,340,130,10
342.2952777,50,6.2,455,130,10
190.8468264,50,6.2,371,130,10
316.6538014,50,6.2,492,130,10
285.3529059,50,6.2,490,130,10
269.8143855,50,6.2,422,130,10
146.2317777,50,6.2,588,130,10
423.3345623,50,6.2,535,130,10
119.8893724,50,6.2,670,130,10
224.8622479,50,6.2,377,130,10
304.867289,50,6.2,291,130,10
145.7990285,50,6.2,365,130,10
383.3980851,50,6.2,375,130,10
419.299702,50,6.2,475,130,10
117.7300507,50,6.2,647,130,10
323.7238621,50,6.2,584,130,10
275.0888911,50,6.2,435,130,10
251.1214102,50,6.2,307,130,10
127.5110475,50,6.2,908,130,10
204.0140941,50,6.2,574,130,10
86.74003697,50,6.2,744,130,10
198.1017214,50,6.2,587,130,10
43.23902415,50,6.2,311,130,10
129.698592,50,6.2,983,130,10
114.3489921,50,6.2,810,130,10
202.5827142,50,6.2,691,130,10
246.1892885,50,6.2,422,130,10
287.5830516,50,6.2,617,130,10
160.9072351,50,6.2,388,130,10
258.1154829,50,6.2,238,130,10
151.9281839,50,6.2,716,130,10
256.5016599,50,6.2,397,130,10
101.0479406,50,6.2,939,130,10
216.9044874,50,6.2,486,130,10
181.0818956,50,6.2,792,130,10
133.8131837,50,6.2,771,130,10
103.3487033,50,6.2,500,130,10
257.5551835,50,6.2,414,130,10
63.70950305,50,6.2,527,130,10
162.9197646,50,6.2,309,130,10
223.723384,50,6.2,626,130,10
295.2651683,50,6.2,939,130,10
141.0402605,50,6.2,964,130,10
80.86506114,50,6.2,625,130,10
329.9902865,50,6.2,305,130,10
413.4354541,50,6.2,456,130,10
186.71958,50,6.2,344,130,10
110.1735926,50,6.2,553,130,10
200.7818208,50,6.2,499,130,10
370.8838498,50,6.2,459,130,10
102.5240043,50,6.2,421,130,10
321.8176237,50,6.2,285,130,10
173.3527884,50,6.2,469,130,10
258.426524,50,6.2,423,130,10
265.8340045,50,6.2,338,130,10
195.6479972,50,6.2,213,130,10
461.4018368,50,6.2,1270,130,10
177.4827436,50,6.2,320,130,10
397.8773764,50,6.2,289,130,10
315.7506984,50,6.2,320,130,10
203.5637319,50,6.2,588,130,10
18.87838349,50,6.2,381,130,10
227.1165973,50,6.2,301,130,10
71.98907947,50,6.2,457,130,10
143.8429698,50,6.2,579,130,10
283.7730157,50,6.2,201,130,10
113.6442259,50,6.2,440,130,10
220.8088477,50,6.2,300,130,10
153.5154073,50,6.2,295,130,10
184.4371373,50,6.2,273,130,10
123.1635245,50,6.2,524,130,10
239.5231621,50,6.2,335,130,10
92.79554218,50,6.2,311,130,10
246.5828693,50,6.2,250,130,10
175.4447457,50,6.2,731,130,10
26.42958983,50,6.2,435,130,10
119.5158848,50,6.2,464,130,10
237.0253289,50,6.2,829,130,10
237.8815101,50,6.2,384,130,10
277.7713582,50,6.2,526,130,10
101.5965487,50,6.2,530,130,10
67.34495244,50,6.2,338,130,10
233.4925435,50,6.2,102,130,10
135.0712334,50,6.2,447,130,10
101.08276,50,6.2,474,130,10
236.0913786,50,6.2,241,130,10
499.0846023,50,6.2,298,130,10
236.9306978,50,6.2,585,130,10
138.3959047,50,6.2,661,130,10
215.6632488,50,6.2,405,130,10
331.0891314,50,6.2,590,130,10
225.1886078,50,6.2,208,130,10
167.5664199,50,6.2,329,130,10
365.6086881,50,6.2,859,130,10
350.8427988,50,6.2,593,130,10
186.0398943,50,6.2,369,130,10
229.4489589,50,6.2,342,130,10
123.0316251,50,6.2,393,130,10
144.7461802,50,6.2,463,130,10
281.9234418,50,6.2,371,130,10
168.8007694,50,6.2,425,130,10
109.8336321,50,6.2,407,130,10
126.5577398,50,6.2,385,130,10
142.1487187,50,6.2,705,130,10
342.0959808,50,6.2,399,130,10
141.8394534,50,6.2,542,130,10
343.1888081,50,6.2,320,130,10
93.5857667,50,6.2,438,130,10
210.2509485,50,6.2,251,130,10
202.7205242,50,6.2,487,130,10
179.5147347,50,6.2,663,130,10
86.08742622,50,6.2,369,130,10
305.162473,50,6.2,203,130,10
157.8287018,50,6.2,723,130,10
195.339979,50,6.2,398,130,10
289.3003499,50,6.2,328,130,10
276.5723316,50,6.2,237,130,10
359.6455548,50,6.2,677,130,10
162.867028,50,6.2,528,130,10
142.1792079,50,6.2,367,130,10
161.5921604,50,6.2,653,130,10
194.1271155,50,6.2,350,130,10
291.4176441,50,6.2,637,130,10
221.7952542,50,6.2,158,130,10
164.6062587,50,6.2,300,130,10
171.1770991,50,6.2,382,130,10
145.7836954,50,6.2,904,130,10
285.4355368,50,6.2,367,130,10
267.0968321,50,6.2,1909,130,10
66.51241205,50,6.2,570,130,10
239.7382694,50,6.2,610,130,10
130.7373354,50,6.2,513,130,10
197.4067844,50,6.2,300,130,10
84.84243603,50,6.2,609,130,10
84.13014258,50,6.2,628,130,10
203.7057771,50,6.2,692,130,10
54.81415225,50,6.2,465,130,10
156.2276189,50,6.2,1110,130,10
81.56538273,50,6.2,511,130,10
114.9708004,50,6.2,636,130,10
211.7562639,50,6.2,153,130,10
401.0957257,50,6.2,316,130,10
400.4560931,50,6.2,466,130,10
135.4233902,50,6.2,400,130,10
517.539757,50,6.2,281,130,10
269.6927182,50,6.2,1010,130,10
390.7227333,50,6.2,486,130,10
26.13482192,50,6.2,383,130,10
190.3968326,50,6.2,246,130,10
263.2122051,50,6.2,1069,130,10
187.0155069,50,6.2,579,130,10
173.7279328,50,6.2,364,130,10
82.35392785,50,6.2,831,130,10
224.2292841,50,6.2,332,130,10
275.7707935,50,6.2,286,130,10
60.60148645,50,6.2,461,130,10
404.359255,50,6.2,289,130,10
216.7745716,50,6.2,392,130,10
60.77968205,50,6.2,339,130,10
263.1524777,50,6.2,544,130,10
324.868013,50,6.2,412,130,10
222.9797896,50,6.2,163,130,10
179.3833957,50,6.2,667,130,10
410.6807345,50,6.2,482,130,10
358.5522022,50,6.2,288,130,10
199.4389687,50,6.2,677,130,10
